date,event
30000,"Was the late Neil Armstrong, whose footprint remains intact on the windless moon, happier than the nameless hunter-gatherer who 30,000 years ago left her handprint on a wall in Chauvet Cave? If not, what was the point of developing agriculture, cities, writing, coinage, empires, science and industry? Historians seldom ask such questions."
45000,"The megafauna of New Zealand – which had weathered the alleged ‘climate change’ of c.45,000 years ago without a scratch – suffered devastating blows immediately after the first humans set foot on the islands."
45000,"Eucalyptus trees were rare in Australia 45,000 years ago. But the arrival of Homo sapiens inaugurated a golden age for the species. Since eucalyptuses are particularly resistant to fire, they spread far and wide while other trees and shrubs disappeared."
45000,"Fishing villages might have appeared on the coasts of Indonesian islands as early as 45,000 years ago."
45000,"The climate changes that beset Australia about 45,000 years ago destabilised the ecosystem and made it particularly vulnerable."
45000,"Their first achievement was the colonisation of Australia some 45,000 years ago."
45000,"The most reasonable theory suggests that, about 45,000 years ago, the Sapiens living in the Indonesian archipelago (a group of islands separated from Asia and from each other by only narrow straits) developed the first seafaring societies."
45000,"Yet there is no evidence of any significant disappearance of oceanic fauna 45,000 years ago. Human involvement can easily explain why the wave of extinction obliterated the terrestrial megafauna of Australia while sparing that of the nearby oceans."
50000,"It seems that about 50,000 years ago, Sapiens, Neanderthals and Denisovans were at that borderline point."
50000,"The last remains of Homo soloensis are dated to about 50,000 years ago."
70000,"About 70,000 years ago, organisms belonging to the species Homo sapiens started to form even more elaborate structures called cultures."
70000,"Homo sapiens reached the Middle East around 70,000 years ago."
70000,"If that is the case, the lineages of all contemporary humans can be traced back, exclusively, to East Africa, 70,000 years ago."
70000,"Not unusually severe for an ice age, it had twin peaks, the first about 70,000 years ago and the second at about 20,000 years ago."
70000,"Scientists also agree that about 70,000 years ago, Sapiens from East Africa spread into the Arabian peninsula, and from there they quickly overran the entire Eurasian landmass."
70000,"The period from about 70,000 years ago to about 30,000 years ago witnessed the invention of boats, oil lamps, bows and arrows and needles (essential for sewing warm clothing)."
70000,"Three important revolutions shaped the course of history: the Cognitive Revolution kickstarted history about 70,000 years ago."
100000,"About 100,000 years ago, some Sapiens groups migrated north to the Levant, which was Neanderthal territory, but failed to secure a firm footing."
100000,"Only in the last 100,000 years – with the rise of Homo sapiens – that man jumped to the top of the food chain."
150000,"Although Sapiens had already populated East Africa 150,000 years ago, they began to overrun the rest of planet Earth and drive the other human species to extinction only about 70,000 years ago."
150000,"Despite the benefits of fire, 150,000 years ago humans were still marginal creatures."
150000,"We don’t know exactly where and when animals that can be classified as Homo sapiens first evolved from some earlier type of humans, but most scientists agree that by 150,000 years ago, East Africa was populated by Sapiens that looked just like us."
300000,"By about 300,000 years ago, Homo erectus, Neanderthals and the forefathers of Homo sapiens were using fire on a daily basis."
400000,"It was only 400,000 years ago that several species of man began to hunt large game on a regular basis"
400000,"They slowly honed their hunting skills, and began going after large animals around 400,000 years ago."
800000,"Some human species may have made occasional use of fire as early as 800,000 years ago."
850000,"They had settled a few islands by swimming short stretches of water or crossing them on improvised rafts. Flores, for example, was colonised as far back as 850,000 years ago. Yet they were unable to venture into the open sea, and none reached America, Australia, or remote islands such as Madagascar, New Zealand and Hawaii."
1000000,"As best we can tell, from the earliest times, more than a million years ago, humans lived in small, intimate communities, most of whose members were kin."
1000000,"Thus humans who lived a million years ago, despite their big brains and sharp stone tools, dwelt in constant fear of predators, rarely hunted large game, and subsisted mainly by gathering plants, scooping up insects, stalking small animals, and eating the carrion left behind by other more powerful carnivores."
1500000,"The giant diprotodon appeared in Australia more than 1.5 million years ago and successfully weathered at least ten previous ice ages."
2000000,"About 2 million years ago, some of these archaic men and women left their homeland to journey through and settle vast areas of North Africa, Europe and Asia."
2000000,"On a hike in East Africa 2 million years ago, you might well have encountered a familiar cast of human characters: anxious mothers cuddling their babies and clutches of carefree children playing in the mud; temperamental youths chafing against the dictates of society and weary elders who just wanted to be left in peace; chest-thumping machos trying to impress the local beauty and wise old matriarchs who had already seen it all."
2000000,"The truth is that from about 2 million years ago until around 10,000 years ago, the world was home, at one and the same time, to several human species."
2000000,"Two million years ago, genetic mutations resulted in the appearance of a new human species called Homo erectus."
2500000,"Humans first evolved in East Africa about 2.5 million years ago from an earlier genus of apes called Australopithecus, which means ‘Southern Ape’."
2500000,"The earliest men and women, 2.5 million years ago, had brains of about 600 cubic centimetres."
2500000,"The first evidence for tool production dates from about 2.5 million years ago, and the manufacture and use of tools are the criteria by which archaeologists recognise ancient humans."
6000000,"Just 6 million years ago, a single female ape had two daughters. One became the ancestor of all chimpanzees, the other is our own grandmother."
25000000,"All cats, for example, from the smallest house kitten to the most ferocious lion, share a common feline ancestor who lived about 25 million years ago."
65000000,"Sixty-five million years ago, an asteroid wiped out the dinosaurs, but in so doing opened the way forward for mammals."
600000000,"We still use our mouths for that purpose, but we also use them to kiss, speak and, if we are Rambo, to pull the pins out of hand grenades. Are any of these uses unnatural simply because our wormlike ancestors 600 million years ago didn’t do those things with their mouths?"
8000000000,"8 billion years ago, on a planet called Earth, certain molecules combined to form particularly large and intricate structures called organisms."
13500000000,"*Matter and energy appear. Beginning of physics. Atoms and molecules appear. Beginning of chemistry"
4500000000,"*Formulation of planet Earth."
3800000000,"*Emergence of organisms. Beginning of biology."
6000000,"*Last common grandmother of humans and chimpanzees."
2500000,"*Evolution of the genus Homo in Africa. First stone tools."
2000000,"*Humans spread from Africa to Eurasia. Evolution of different human species."
500000,"*Neanderthals evolve in Europe and the Middle East."
300000,"*Daily usage of fire."
200000,"*Homo sapiens evolves in East Africa."
70000,"*The Cognitive Revolution. Emergence of fictive language. Beginning of history. Sapiens spread out of Africa."
45000,"*Sapiens settle Australia. Extinction of Australian megafauna."
30000,"*Extinction of Neanderthals."
16000,"*Sapiens settle America. Extinction of American megafauna."
13000,"*Extinction of Homo floresiensis. Homo sapiens the only surviving human species."
12000,"*The Agricultural Revolution. Domestication of plants and animals. Permanent settlements."
5000,"*First kingdoms, script and money. Polytheistic religions."
4250,"*First empire - the Akkadian Empire of Sargon.
2500,"*Invention of coinage - a universal money.’"
2500,"*The Persian Empire - a universal political order ‘for the benefit of all humans.’"
2500,"*Buddhism in India - a universal truth ‘to liberate all beings from suffering.’"
2000,"*Han Empire in China. Roman Empire in the Mediterranean. Christianity."
1400,"*Islam."
500,"*The Scientific Revolution. Humankind admits its ignorance and begins to acquire unprecedented power. Europeans begin to conquer America and the oceans. The entire planet becomes a single historical arena. The rise of capitalism."
200,"*The Industrial Revolution. Family and community are replaced by state and market. Massive extinction of plants and animals."
0,"*Humans transcend the boundaries of planet Earth. Nuclear weapons threaten the survival of humankind. Organisms are increasingly shaped by intelligent design rather than natural selection."
-1,"*Intelligent design becomes the basic principle of life? Homo sapiens is replaced by superhumans?"
